vehicle_id,path_id,node_id,visit_time,passenger_id,link_id,path_cost
1,1,173,1,-1,-1,99999.000
1,1,1285,2,-1,-1,99999.000
1,1,5018,4,-1,-1,99999.000
1,1,5017,5,-1,-1,99999.000
1,1,11146,6,-1,-1,99999.000
1,1,5736,7,-1,-1,99999.000
1,1,11148,8,-1,-1,99999.000
1,1,5113,9,-1,-1,99999.000
1,1,11160,10,-1,-1,99999.000
1,1,5112,11,-1,-1,99999.000
1,1,11172,12,-1,-1,99999.000
1,1,5210,13,-1,-1,99999.000
1,1,5211,14,-1,-1,99999.000
1,1,5209,15,-1,-1,99999.000
1,1,163,16,6,-1,99999.000
1,1,163,25,6,-1,99999.000
1,1,5209,26,-1,-1,99999.000
1,1,1352,28,-1,-1,99999.000
1,1,171,29,10,-1,99999.000
1,1,171,30,10,-1,99999.000
1,1,1352,31,-1,-1,99999.000
1,1,6256,33,-1,-1,99999.000
1,1,1356,35,-1,-1,99999.000
1,1,6255,37,-1,-1,99999.000
1,1,172,38,10,-1,99999.000
1,1,172,60,10,-1,99999.000
1,1,6255,61,-1,-1,99999.000
1,1,1357,63,-1,-1,99999.000
1,1,164,64,6,-1,99999.000
1,1,164,65,6,-1,99999.000
1,1,1357,66,-1,-1,99999.000
1,1,6255,68,-1,-1,99999.000
1,1,1356,70,-1,-1,99999.000
1,1,6256,72,-1,-1,99999.000
1,1,1352,74,-1,-1,99999.000
1,1,5209,76,-1,-1,99999.000
1,1,5211,77,-1,-1,99999.000
1,1,5210,78,-1,-1,99999.000
1,1,11172,79,-1,-1,99999.000
1,1,5112,80,-1,-1,99999.000
1,1,11160,81,-1,-1,99999.000
1,1,5113,82,-1,-1,99999.000
1,1,11148,83,-1,-1,99999.000
1,1,5736,84,-1,-1,99999.000
1,1,11146,85,-1,-1,99999.000
1,1,5017,86,-1,-1,99999.000
1,1,5018,87,-1,-1,99999.000
1,1,1289,89,-1,-1,99999.000
1,1,4952,91,-1,-1,99999.000
1,1,1290,93,-1,-1,99999.000
1,1,174,94,-1,-1,99999.000
1,1,174,100,-1,-1,99999.000
2,1,175,1,-1,-1,99999.000
2,1,5017,2,-1,-1,99999.000
2,1,11146,3,-1,-1,99999.000
2,1,5736,4,-1,-1,99999.000
2,1,11148,5,-1,-1,99999.000
2,1,5113,6,-1,-1,99999.000
2,1,11160,7,-1,-1,99999.000
2,1,5112,8,-1,-1,99999.000
2,1,11172,9,-1,-1,99999.000
2,1,5210,10,-1,-1,99999.000
2,1,5211,11,-1,-1,99999.000
2,1,5209,12,-1,-1,99999.000
2,1,5208,13,-1,-1,99999.000
2,1,11261,15,-1,-1,99999.000
2,1,5214,17,-1,-1,99999.000
2,1,11259,18,-1,-1,99999.000
2,1,5587,19,-1,-1,99999.000
2,1,5174,20,-1,-1,99999.000
2,1,1357,22,-1,-1,99999.000
2,1,165,23,7,-1,99999.000
2,1,165,25,7,-1,99999.000
2,1,1357,26,-1,-1,99999.000
2,1,5174,28,-1,-1,99999.000
2,1,5587,29,-1,-1,99999.000
2,1,11259,30,-1,-1,99999.000
2,1,167,31,8,-1,99999.000
2,1,11259,32,-1,-1,99999.000
2,1,1356,34,-1,-1,99999.000
2,1,11183,36,-1,-1,99999.000
2,1,1355,38,-1,-1,99999.000
2,1,168,39,8,-1,99999.000
2,1,168,60,8,-1,99999.000
2,1,1355,61,-1,-1,99999.000
2,1,11183,63,-1,-1,99999.000
2,1,1356,65,-1,-1,99999.000
2,1,6256,67,-1,-1,99999.000
2,1,1352,69,-1,-1,99999.000
2,1,166,70,7,-1,99999.000
2,1,1352,71,-1,-1,99999.000
2,1,5209,73,-1,-1,99999.000
2,1,5211,74,-1,-1,99999.000
2,1,5210,75,-1,-1,99999.000
2,1,11172,76,-1,-1,99999.000
2,1,5112,77,-1,-1,99999.000
2,1,11160,78,-1,-1,99999.000
2,1,5113,79,-1,-1,99999.000
2,1,11148,80,-1,-1,99999.000
2,1,5736,81,-1,-1,99999.000
2,1,11146,82,-1,-1,99999.000
2,1,5017,83,-1,-1,99999.000
2,1,5018,84,-1,-1,99999.000
2,1,5436,85,-1,-1,99999.000
2,1,11125,87,-1,-1,99999.000
2,1,5440,89,-1,-1,99999.000
2,1,11127,90,-1,-1,99999.000
2,1,11126,91,-1,-1,99999.000
2,1,5441,92,-1,-1,99999.000
2,1,5861,93,-1,-1,99999.000
2,1,10872,95,-1,-1,99999.000
2,1,5030,97,-1,-1,99999.000
2,1,176,98,-1,-1,99999.000
2,1,176,100,-1,-1,99999.000
3,1,177,1,-1,-1,99999.000
3,1,1318,2,-1,-1,99999.000
3,1,11160,4,-1,-1,99999.000
3,1,5112,5,-1,-1,99999.000
3,1,11172,6,-1,-1,99999.000
3,1,5210,7,-1,-1,99999.000
3,1,5211,8,-1,-1,99999.000
3,1,5209,9,-1,-1,99999.000
3,1,159,10,4,-1,99999.000
3,1,159,25,4,-1,99999.000
3,1,5209,26,-1,-1,99999.000
3,1,5211,27,-1,-1,99999.000
3,1,5210,28,-1,-1,99999.000
3,1,11172,29,-1,-1,99999.000
3,1,1353,31,-1,-1,99999.000
3,1,11173,33,-1,-1,99999.000
3,1,160,34,4,-1,99999.000
3,1,160,65,4,-1,99999.000
3,1,11173,66,-1,-1,99999.000
3,1,5219,68,-1,-1,99999.000
3,1,1355,70,-1,-1,99999.000
3,1,11183,72,-1,-1,99999.000
3,1,5215,74,-1,-1,99999.000
3,1,5588,76,-1,-1,99999.000
3,1,11184,78,-1,-1,99999.000
3,1,11257,80,-1,-1,99999.000
3,1,5175,82,-1,-1,99999.000
3,1,5729,84,-1,-1,99999.000
3,1,5929,86,-1,-1,99999.000
3,1,178,87,-1,-1,99999.000
3,1,178,100,-1,-1,99999.000
4,1,179,1,-1,-1,99999.000
4,1,1346,2,-1,-1,99999.000
4,1,11172,4,-1,-1,99999.000
4,1,5112,5,-1,-1,99999.000
4,1,11160,6,-1,-1,99999.000
4,1,5113,7,-1,-1,99999.000
4,1,11148,8,-1,-1,99999.000
4,1,5736,9,-1,-1,99999.000
4,1,157,10,3,-1,99999.000
4,1,157,20,3,-1,99999.000
4,1,5736,21,-1,-1,99999.000
4,1,11148,22,-1,-1,99999.000
4,1,5113,23,-1,-1,99999.000
4,1,11160,24,-1,-1,99999.000
4,1,5112,25,-1,-1,99999.000
4,1,11172,26,-1,-1,99999.000
4,1,1353,28,-1,-1,99999.000
4,1,11173,30,-1,-1,99999.000
4,1,158,31,3,-1,99999.000
4,1,158,60,3,-1,99999.000
4,1,11173,61,-1,-1,99999.000
4,1,1354,63,-1,-1,99999.000
4,1,5592,65,-1,-1,99999.000
4,1,1323,67,-1,-1,99999.000
4,1,180,68,-1,-1,99999.000
4,1,180,100,-1,-1,99999.000
5,1,181,1,-1,-1,99999.000
5,1,1316,2,-1,-1,99999.000
5,1,11148,4,-1,-1,99999.000
5,1,5736,5,-1,-1,99999.000
5,1,11146,6,-1,-1,99999.000
5,1,5017,7,-1,-1,99999.000
5,1,5018,8,-1,-1,99999.000
5,1,155,9,2,-1,99999.000
5,1,155,20,2,-1,99999.000
5,1,5018,21,-1,-1,99999.000
5,1,5017,22,-1,-1,99999.000
5,1,11124,24,-1,-1,99999.000
5,1,5022,26,-1,-1,99999.000
5,1,5524,28,-1,-1,99999.000
5,1,5863,30,-1,-1,99999.000
5,1,5009,32,-1,-1,99999.000
5,1,5027,34,-1,-1,99999.000
5,1,11129,36,-1,-1,99999.000
5,1,5034,38,-1,-1,99999.000
5,1,156,39,2,-1,99999.000
5,1,156,60,2,-1,99999.000
5,1,5034,61,-1,-1,99999.000
5,1,11129,63,-1,-1,99999.000
5,1,5027,65,-1,-1,99999.000
5,1,11150,67,-1,-1,99999.000
5,1,5109,69,-1,-1,99999.000
5,1,4804,71,-1,-1,99999.000
5,1,5106,73,-1,-1,99999.000
5,1,5117,75,-1,-1,99999.000
5,1,5,76,-1,22,99999.000
5,1,4,77,-1,23,99999.000
5,1,3,78,-1,24,99999.000
5,1,2,79,-1,25,99999.000
5,1,1,80,-1,26,99999.000
5,1,5592,81,-1,-1,99999.000
5,1,1354,83,-1,-1,99999.000
5,1,11173,85,-1,-1,99999.000
5,1,5219,87,-1,-1,99999.000
5,1,1355,89,-1,-1,99999.000
5,1,182,90,-1,-1,99999.000
5,1,182,100,-1,-1,99999.000
6,1,183,1,-1,-1,99999.000
6,1,5929,2,-1,-1,99999.000
6,1,5729,4,-1,-1,99999.000
6,1,5175,6,-1,-1,99999.000
6,1,11507,8,-1,-1,99999.000
6,1,5216,10,-1,-1,99999.000
6,1,5868,11,-1,-1,99999.000
6,1,5174,12,-1,-1,99999.000
6,1,169,13,9,-1,99999.000
6,1,169,30,9,-1,99999.000
6,1,5174,31,-1,-1,99999.000
6,1,5868,32,-1,-1,99999.000
6,1,5216,33,-1,-1,99999.000
6,1,11507,35,-1,-1,99999.000
6,1,5175,37,-1,-1,99999.000
6,1,11257,39,-1,-1,99999.000
6,1,170,40,9,-1,99999.000
6,1,170,60,9,-1,99999.000
6,1,11257,61,-1,-1,99999.000
6,1,11184,63,-1,-1,99999.000
6,1,5588,65,-1,-1,99999.000
6,1,5215,67,-1,-1,99999.000
6,1,11183,69,-1,-1,99999.000
6,1,1355,71,-1,-1,99999.000
6,1,184,72,-1,-1,99999.000
6,1,184,100,-1,-1,99999.000
7,1,185,1,-1,-1,99999.000
7,1,5356,2,-1,-1,99999.000
7,1,5216,3,-1,-1,99999.000
7,1,5868,4,-1,-1,99999.000
7,1,5174,5,-1,-1,99999.000
7,1,5587,6,-1,-1,99999.000
7,1,11259,7,-1,-1,99999.000
7,1,5214,8,-1,-1,99999.000
7,1,11261,10,-1,-1,99999.000
7,1,5208,12,-1,-1,99999.000
7,1,5209,13,-1,-1,99999.000
7,1,5211,14,-1,-1,99999.000
7,1,161,15,5,-1,99999.000
7,1,161,25,5,-1,99999.000
7,1,5211,26,-1,-1,99999.000
7,1,5210,27,-1,-1,99999.000
7,1,11172,28,-1,-1,99999.000
7,1,1353,30,-1,-1,99999.000
7,1,11173,32,-1,-1,99999.000
7,1,162,33,5,-1,99999.000
7,1,162,65,5,-1,99999.000
7,1,11173,66,-1,-1,99999.000
7,1,5219,68,-1,-1,99999.000
7,1,1355,70,-1,-1,99999.000
7,1,186,71,-1,-1,99999.000
7,1,186,100,-1,-1,99999.000
9,1,189,1,-1,-1,99999.000
9,1,4899,2,-1,-1,99999.000
9,1,5030,4,-1,-1,99999.000
9,1,10872,6,-1,-1,99999.000
9,1,5861,8,-1,-1,99999.000
9,1,5441,9,-1,-1,99999.000
9,1,11126,10,-1,-1,99999.000
9,1,11127,11,-1,-1,99999.000
9,1,5440,12,-1,-1,99999.000
9,1,11125,14,-1,-1,99999.000
9,1,5436,16,-1,-1,99999.000
9,1,5018,17,-1,-1,99999.000
9,1,153,18,1,-1,99999.000
9,1,153,20,1,-1,99999.000
9,1,5018,21,-1,-1,99999.000
9,1,1289,23,-1,-1,99999.000
9,1,4952,25,-1,-1,99999.000
9,1,154,26,1,-1,99999.000
9,1,154,60,1,-1,99999.000
9,1,4952,61,-1,-1,99999.000
9,1,1289,63,-1,-1,99999.000
9,1,5018,65,-1,-1,99999.000
9,1,5017,66,-1,-1,99999.000
9,1,11146,67,-1,-1,99999.000
9,1,5736,68,-1,-1,99999.000
9,1,8116,70,-1,-1,99999.000
9,1,190,71,-1,-1,99999.000
9,1,190,100,-1,-1,99999.000
10,1,191,1,-1,-1,99999.000
10,1,5119,2,-1,-1,
