name,link_id,from_node_id,to_node_id,link_type_name,direction,length_in_mile,number_of_lanes,speed_limit_in_mph,saturation_flow_rate_in_vhc_per_hour_per_lane,lane_capacity_in_vhc_per_hour,link_type,jam_density_in_vhc_pmpl,wave_speed_in_mph,effective_green_time_length_in_second,green_start_time_in_second,AADT_conversion_factor,mode_code,grade,geometry,KML_green_height,KML_red_height,KML_blue_height,KML_yellow_leightnumber_of_left_turn_bays,length_of_bays_in_feet,left_turn_capacity_in_veh_per_hour,from_approach,to_approach,reversed_link_id,h0_link_volume,h1_link_volume,h2_link_volume,h3_link_volume,h4_link_volume,h5_link_volume,h6_link_volume,h7_link_volume,h8_link_volume,h9_link_volume,h10_link_volume,h11_link_volume,h12_link_volume,h13_link_volume,h14_link_volume,h15_link_volume,h16_link_volume,h17_link_volume,h18_link_volume,h19_link_volume,h20_link_volume,h21_link_volume,h22_link_volume,h23_link_volume,h0_speed,h1_speed,h2_speed,h3_speed,h4_speed,h5_speed,h6_speed,h7_speed,h8_speed,h9_speed,h10_speed,h11_speed,h12_speed,h13_speed,h14_speed,h15_speed,h16_speed,h17_speed,h18_speed,h19_speed,h20_speed,h21_speed,h22_speed,h23_speed,h0_travel_time,h1_travel_time,h2_travel_time,h3_travel_time,h4_travel_time,h5_travel_time,h6_travel_time,h7_travel_time,h8_travel_time,h9_travel_time,h10_travel_time,h11_travel_time,h12_travel_time,h13_travel_time,h14_travel_time,h15_travel_time,h16_travel_time,h17_travel_time,h18_travel_time,h19_travel_time,h20_travel_time,h21_travel_time,h22_travel_time,h23_travel_time
Cent,218,1323,11161,Zonal connector,1,0.543,7,20,2000,2000,10,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.921422,40.591672,0.0 -111.929277,40.591110,0.0</coordinates></LineString>",0,0,0,0,0,0,0,W,E,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,10,0,0,0,0,0,0,19.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.97,20,20,20,20,10,0,1.69,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,3.26,32.58
Cent,219,11161,1323,Zonal connector,1,0.543,7,20,2000,2000,10,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.929268,40.590984,0.0 -111.921413,40.591546,0.0</coordinates></LineString>",0,0,0,0,0,0,0,E,W,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,9,0,0,0,0,0,0,19.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,0,1.69,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,3.26,32.58
Cent,220,1319,11146,Zonal connector,1,0.31,7,20,2000,2000,10,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.934427,40.607357,0.0 -111.938877,40.605958,0.0</coordinates></LineString>",0,0,0,0,0,0,0,W,E,2210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,96,67,0,0,0,0,0,0,19.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.85,19.79,19.78,20,20,20,20,10,0,0.96,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.94,0.94,0.94,0.93,0.93,0.93,0.93,1.86,18.6
Cent,221,11146,1319,Zonal connector,1,0.31,7,20,2000,2000,10,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.938839,40.605838,0.0 -111.934389,40.607237,0.0</coordinates></LineString>",0,0,0,0,0,0,0,E,W,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,84,72,0,0,0,0,0,0,19.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,0,0.96,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,1.86,18.6
Cent,222,1319,11147,Zonal connector,1,0.358,7,20,2000,2000,10,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.934403,40.607234,0.0 -111.929230,40.607628,0.0</coordinates></LineString>",0,0,0,0,0,0,0,E,W,2230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,0,1.11,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,2.15,21.48
Cent,223,11147,1319,Zonal connector,1,0.358,7,20,2000,2000,10,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.929240,40.607754,0.0 -111.934413,40.607360,0.0</coordinates></LineString>",0,0,0,0,0,0,0,W,E,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,0,1.11,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,2.15,21.48
Cent,224,1322,11160,Zonal connector,1,0.313,7,20,2000,2000,10,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.934351,40.591069,0.0 -111.938881,40.590907,0.0</coordinates></LineString>",0,0,0,0,0,0,0,W,E,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,40,18,0,0,0,0,0,0,19.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.97,19.93,20,20,20,20,10,0,0.97,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,1.88,18.78
Cent,225,11160,1322,Zonal connector,1,0.313,7,20,2000,2000,10,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.938876,40.590781,0.0 -111.934347,40.590943,0.0</coordinates></LineString>",0,0,0,0,0,0,0,E,W,2240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,55,57,0,0,0,0,0,0,19.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,0,0.97,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,1.88,18.78
Cent,226,1360,5730,Zonal connector,1,0.254,7,20,2000,2000,10,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.901846,40.584091,0.0 -111.905511,40.583344,0.0</coordinates></LineString>",0,0,0,0,0,0,0,W,E,2270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,0,0.79,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,1.52,15.24
Cent,227,5730,1360,Zonal connector,1,0.254,7,20,2000,2000,10,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.905486,40.583220,0.0 -111.901821,40.583968,0.0</coordinates></LineString>",0,0,0,0,0,0,0,E,W,2260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,15,0,0,0,0,0,0,19.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,0,0.79,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,1.52,15.24
