iteration_no,agent_id,agent_type,virtual_vehicle,path_node_sequence,path_time_sequence,path_state_sequence,
0,p1,p,pax,5018;4952,30;40
0,p2,p,pax,5018;5034,30;40
1,v3,v,physical,1285;5018;5018;1289;4952;4952;1290;,27;29;55;57;59;99;101;,
1,v4,v,physical,5017;5018;5018;5017;11124;5022;5524;5863;5009;5027;11129;5034;5034;11129;1299;4958;5030;,28;29;31;43;45;47;49;51;53;55;57;59;93;95;97;99;101;,
1,v,v,virtual,5018;,110;,
1,v,v,virtual,5018;,110;,
